Ranks,NITER,N,MFlops,Time
72,1000000,1000,45096.15,44.35
144,1000000,1000,24325.97,82.22
216,1000000,1000,16385.47,122.06
288,1000000,1000,12300.68,162.59
72,100000,4000,193122.58,16.57
144,100000,4000,265467.72,12.05
216,100000,4000,183759.35,17.41
288,100000,4000,172477.95,18.55
72,10000,10000,70777.42,28.26
144,10000,10000,134605.39,14.86
216,10000,10000,190288.87,10.51
288,10000,10000,478293.92,4.18
72,5000,20000,62783.50,63.71
144,5000,20000,126713.73,31.57
216,5000,20000,176707.41,22.64
288,5000,20000,255737.49,15.64
