Ranks,NITER,N,MFlops,Time
18,1000000,1000,107975.08,18.52
36,1000000,1000,82620.92,24.21
54,1000000,1000,58688.96,34.08
72,1000000,1000,45507.61,43.95
18,100000,4000,24670.87,129.71
36,100000,4000,74933.37,42.70
54,100000,4000,145649.86,21.97
72,100000,4000,193785.15,16.51
18,10000,10000,20030.62,99.85
36,10000,10000,41271.92,48.46
54,10000,10000,66195.19,30.21
72,10000,10000,90342.12,22.14
18,5000,20000,20155.23,198.46
36,5000,20000,39223.54,101.98
54,5000,20000,59516.22,67.21
72,5000,20000,81138.35,49.30
