Ranks,NITER,N,MFlops,Time
1,1000000,1000,7244.24,276.08
2,1000000,1000,12936.24,154.60
3,1000000,1000,17669.29,113.19
4,1000000,1000,22775.16,87.81
5,1000000,1000,36826.56,54.31
6,1000000,1000,46390.76,43.11
7,1000000,1000,56669.44,35.29
8,1000000,1000,61459.71,32.54
9,1000000,1000,69667.89,28.71
10,1000000,1000,87607.69,22.83
11,1000000,1000,78558.75,25.46
12,1000000,1000,82412.61,24.27
13,1000000,1000,81718.26,24.47
14,1000000,1000,100482.61,19.90
15,1000000,1000,85011.29,23.53
16,1000000,1000,77064.39,25.95
17,1000000,1000,64670.42,30.93
18,1000000,1000,107910.18,18.53
1,100000,4000,4014.53,797.10
2,100000,4000,7711.97,414.94
3,100000,4000,11935.66,268.10
4,100000,4000,14517.91,220.42
5,100000,4000,16558.12,193.26
6,100000,4000,17538.33,182.46
7,100000,4000,18124.76,176.55
8,100000,4000,18158.70,176.22
9,100000,4000,18462.84,173.32
10,100000,4000,19694.52,162.48
11,100000,4000,19483.85,164.24
12,100000,4000,20659.44,154.89
13,100000,4000,21755.43,147.09
14,100000,4000,22203.08,144.12
15,100000,4000,23195.76,137.96
16,100000,4000,23532.64,135.98
17,100000,4000,24484.81,130.69
18,100000,4000,24695.37,129.58
1,10000,10000,3868.19,517.04
2,10000,10000,7483.83,267.24
3,10000,10000,11598.29,172.44
4,10000,10000,14139.59,141.45
5,10000,10000,15740.94,127.06
6,10000,10000,16706.85,119.71
7,10000,10000,17177.94,116.43
8,10000,10000,17105.19,116.92
9,10000,10000,17562.27,113.88
10,10000,10000,17978.79,111.24
11,10000,10000,17792.00,112.41
12,10000,10000,18535.84,107.90
13,10000,10000,19256.66,103.86
14,10000,10000,19747.77,101.28
15,10000,10000,19886.12,100.57
16,10000,10000,20002.08,99.99
17,10000,10000,20146.33,99.27
18,10000,10000,20033.30,99.83
1	5000	20000	3770,02	1061.56
2,5000,20000,7619.64,524.96
3,5000,20000,11819.88,338.41
4,5000,20000,14288.50,279.95
5,5000,20000,16009.39,249.85
6,5000,20000,17192.13,232.66
7,5000,20000,17635.12,226.82
8,5000,20000,17644.44,226.70
9,5000,20000,18023.88,221.93
10,5000,20000,18233.73,219.37
11,5000,20000,18026.26,221.90
12,5000,20000,18806.26,212.70
13,5000,20000,19515.35,204.97
14,5000,20000,20079.14,199.21
15,5000,20000,20358.34,196.48
16,5000,20000,20346.34,196.60
17,5000,20000,20304.48,197.00
18,5000,20000,20135.60,198.65
